"","date","future expiration","adjusted close","expiration","strike","call/put","ask","bid","settlement price","ttm"
"4196",2014-10-15,2014-11-20,81,2014-10-24,81,"C","1.68","0",1.91,9
"4197",2014-10-15,2014-10-21,82,2014-10-16,82,"P","1.53","1.32",1.02,1
"4198",2014-10-15,2014-10-21,82,2014-10-16,82,"C","0.6","0.47",0.8,1
"4199",2014-10-17,2014-11-20,82,2014-10-24,82,"P","1.61","0",1.33,7
"4200",2014-10-17,2014-11-20,82,2014-10-17,82,"P","0.1","0",0,0
"4201",2014-10-24,2014-11-20,81,2014-10-24,81,"C","0.2","0.03",0.01,0
"4202",2014-10-29,2014-11-20,82,2014-11-07,82,"P","1.65","0",1.34,9
"4203",2014-10-29,2014-11-20,82,2014-10-31,82,"P","0.82","0",0.66,2
"4204",2014-10-30,2014-11-20,81,2014-10-31,81,"P","0.79","0",0.54,1
"4205",2014-10-31,2014-11-20,80.5,2014-11-07,80.5,"P","1.25","0",1.31,7
"4206",2014-11-03,2014-11-20,79,2014-11-17,79,"P","3","0.55",1.93,14
"4207",2014-11-03,2014-11-20,79,2014-11-17,79,"C","1.56","0",1.71,14
"4208",2014-11-03,2014-11-20,79,2014-11-14,79,"C","1.75","0",1.57,11
"4209",2014-11-04,2014-11-20,77,2014-11-17,77,"P","1.9","1.56",1.73,13
"4210",2014-11-04,2014-11-20,77,2014-11-17,77,"C","2.12","1.82",1.92,13
"4211",2014-11-05,2014-11-20,78.5,2014-11-17,78.5,"P","1.44","1.33",1.56,12
"4212",2014-11-05,2014-11-20,78.5,2014-11-17,78.5,"C","1.88","1.76",1.74,12
"4213",2014-11-05,2014-11-20,78.5,2014-11-07,78.5,"P","1.1","0",0.77,2
"4214",2014-11-06,2014-11-20,78,2014-11-17,78,"P","1.55","1.48",1.46,11
"4215",2014-11-06,2014-11-20,78,2014-11-17,78,"C","1.38","1.32",1.37,11
"4216",2014-11-06,2014-11-20,78,2014-11-07,78,"C","0.6","0.35",0.5,1
"4217",2014-11-07,2014-11-20,78.5,2014-11-17,78.5,"P","1.43","1.34",1.25,10
"4218",2014-11-07,2014-11-20,78.5,2014-11-17,78.5,"C","1.38","1.29",1.4,10
